trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
42,right_to_left,(1 0),60.0,diagonal_right_down,(1 -1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
28,right_to_left,(1 0),30.0,horizontal_with,(-1 0),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
127,right_to_left,(1 0),30.0,vertical_down,(0 -1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
170,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
143,right_to_left,(1 0),60.0,vertical_down,(0 -1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
101,left_to_right,(-1 0),15.0,horizontal_against,(1 0),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
38,left_to_right,(-1 0),60.0,vertical_up,(0 1),0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
61,right_to_left,(1 0),15.0,horizontal_against,(1 0),15.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
126,right_to_left,(1 0),30.0,vertical_up,(0 1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
98,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
103,left_to_right,(-1 0),15.0,vertical_down,(0 -1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
92,right_to_left,(1 0),60.0,horizontal_with,(-1 0),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
10,right_to_left,(1 0),15.0,diagonal_right_down,(1 -1),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
148,left_to_right,(-1 0),15.0,horizontal_with,(-1 0),60.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
188,right_to_left,(1 0),60.0,horizontal_with,(-1 0),60.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
79,right_to_left,(1 0),30.0,vertical_down,(0 -1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
15,right_to_left,(1 0),15.0,vertical_down,(0 -1),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
73,right_to_left,(1 0),30.0,diagonal_left_down,(-1 -1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
10,right_to_left,(1 0),15.0,diagonal_right_down,(1 -1),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
117,left_to_right,(-1 0),30.0,horizontal_against,(1 0),30.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
84,left_to_right,(-1 0),60.0,horizontal_with,(-1 0),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
2,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
28,right_to_left,(1 0),30.0,horizontal_with,(-1 0),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
65,left_to_right,(-1 0),30.0,diagonal_left_down,(-1 -1),15.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
44,right_to_left,(1 0),60.0,horizontal_with,(-1 0),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
106,right_to_left,(1 0),15.0,diagonal_right_down,(1 -1),30.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
187,right_to_left,(1 0),60.0,diagonal_right_up,(1 1),60.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
131,left_to_right,(-1 0),60.0,diagonal_right_up,(1 1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
131,left_to_right,(-1 0),60.0,diagonal_right_up,(1 1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
51,left_to_right,(-1 0),15.0,diagonal_right_up,(1 1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
123,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
170,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
185,right_to_left,(1 0),60.0,diagonal_left_down,(-1 -1),60.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
102,left_to_right,(-1 0),15.0,vertical_up,(0 1),30.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
131,left_to_right,(-1 0),60.0,diagonal_right_up,(1 1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
34,left_to_right,(-1 0),60.0,diagonal_right_down,(1 -1),0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
165,left_to_right,(-1 0),30.0,horizontal_against,(1 0),60.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
183,left_to_right,(-1 0),60.0,vertical_down,(0 -1),60.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
152,right_to_left,(1 0),15.0,diagonal_left_up,(-1 1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
75,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
130,left_to_right,(-1 0),60.0,diagonal_right_down,(1 -1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
170,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
75,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
34,left_to_right,(-1 0),60.0,diagonal_right_down,(1 -1),0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
21,left_to_right,(-1 0),30.0,horizontal_against,(1 0),0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
104,right_to_left,(1 0),15.0,diagonal_left_up,(-1 1),30.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
109,right_to_left,(1 0),15.0,horizontal_against,(1 0),30.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
